,Followers.at.Posting,type_Live Video Complete,Likes.at.Posting,time_difference,prep,WC,focuspast,number,OtherP,Sixltr,article,fnctn,page_category_NEWS_SITE,WPS,Period,Comma,motion,we,time,sec_15,sec_30,sec_60,sec_120,sec_half_day,sec_day,sec_7_days,target,popular
64319,588209,0,481395,15890970.0,10.0,90,1.11,3.33,4.44,25.56,3.33,36.67,0,15.0,5.56,6.67,1.11,2.22,2.22,1,1,1,1,1,1,1,66,1
59264,151716,0,148353,7574105.0,8.33,36,2.78,5.56,11.11,13.89,11.11,38.89,0,18.0,0.0,0.0,5.56,0.0,2.78,1,1,1,1,1,1,1,7,0
36338,505729,1,457040,38789024.0,15.15,33,3.03,6.06,0.0,24.24,6.06,42.42,0,11.0,6.06,0.0,3.03,0.0,3.03,1,1,1,1,1,1,1,55,1
17351,109583,0,114368,76128521.0,12.5,48,0.0,4.17,6.25,16.67,2.08,27.08,0,16.0,6.25,0.0,0.0,0.0,6.25,1,1,1,1,1,1,1,57,1
63642,23137,0,18885,14758814.0,15.22,46,0.0,0.0,0.0,34.78,4.35,36.96,1,23.0,4.35,0.0,8.7,0.0,0.0,1,1,1,1,1,1,1,14,0
37137,558887,0,565487,39678051.0,8.7,23,0.0,0.0,0.0,34.78,8.7,39.13,0,7.67,8.7,0.0,0.0,0.0,17.39,1,1,1,1,1,1,1,30,0
121255,587847,0,517182,1891514.0,12.28,57,3.51,5.26,8.77,7.02,8.77,42.11,0,14.25,5.26,5.26,1.75,0.0,5.26,1,1,1,1,1,1,1,3,0
59510,30209,0,28940,7963241.0,16.39,61,6.56,11.48,1.64,9.84,16.39,42.62,0,20.33,6.56,1.64,1.64,0.0,8.2,1,1,1,1,1,1,1,8,0
28355,82906,0,83977,60164981.0,10.53,19,0.0,21.05,10.53,21.05,0.0,15.79,0,9.5,5.26,0.0,0.0,0.0,10.53,1,1,1,1,1,1,1,2,0
85662,233888,0,239482,79732154.0,10.42,96,4.17,1.04,0.0,20.83,1.04,46.88,0,24.0,5.21,5.21,1.04,1.04,0.0,1,1,1,1,1,1,1,23,0
65709,579970,0,525244,17799912.0,13.33,30,0.0,10.0,16.67,16.67,6.67,23.33,0,15.0,6.67,3.33,0.0,0.0,3.33,1,1,1,1,1,1,1,190,1
58292,543530,0,430761,6135912.0,15.38,39,0.0,0.0,15.38,15.38,2.56,28.21,0,13.0,7.69,0.0,0.0,2.56,0.0,1,1,1,1,1,1,1,61,1
17598,1330544,0,1360436,76456451.0,11.11,45,0.0,2.22,8.89,15.56,0.0,20.0,0,11.25,6.67,4.44,0.0,2.22,15.56,1,1,1,1,1,1,1,84,1
62102,281769,0,258080,12372817.0,16.67,36,2.78,0.0,0.0,33.33,5.56,44.44,0,12.0,0.0,2.78,5.56,0.0,5.56,1,1,1,1,1,1,1,3,0
57691,10399663,0,9901161,5371524.0,10.34,58,3.45,5.17,0.0,36.21,1.72,29.31,0,19.33,5.17,3.45,1.72,0.0,1.72,1,1,1,1,1,1,1,2,0
33915,1029984,0,999864,36203089.0,15.0,40,0.0,5.0,0.0,22.5,2.5,32.5,0,13.33,5.0,10.0,0.0,0.0,7.5,1,1,1,1,1,1,1,7,0
15746,402833,0,403193,73366814.0,11.27,71,0.0,2.82,4.23,16.9,4.23,28.17,0,23.67,4.23,1.41,2.82,2.82,5.63,1,1,1,1,1,1,1,62,1
35223,277646,0,278091,37601712.0,10.42,48,0.0,6.25,10.42,25.0,6.25,29.17,0,9.6,12.5,0.0,0.0,0.0,6.25,1,1,1,1,1,1,1,2,0
5652,408218,0,424023,90090613.0,7.89,38,0.0,0.0,0.0,26.32,10.53,36.84,0,9.5,2.63,0.0,5.26,0.0,7.89,1,1,1,1,1,1,1,16,0
38444,1033462,0,1003340,41318714.0,9.76,41,4.88,0.0,0.0,19.51,9.76,41.46,0,20.5,4.88,7.32,0.0,2.44,0.0,1,1,1,1,1,1,1,1,0
100249,895890,0,832105,36373214.0,4.55,22,0.0,0.0,0.0,31.82,0.0,50.0,0,11.0,9.09,4.55,0.0,4.55,4.55,1,1,1,1,1,1,1,6,0
6295,204312,0,214836,91073648.0,10.42,48,0.0,0.0,2.08,43.75,6.25,31.25,1,12.0,4.17,2.08,0.0,4.17,2.08,1,1,1,1,1,1,1,4,0
20831,347323,0,359573,50210654.0,12.5,24,0.0,4.17,4.17,20.83,4.17,29.17,0,12.0,0.0,0.0,0.0,4.17,4.17,1,1,1,1,1,1,1,15,0
97243,6342160,0,5825406,32923206.0,20.93,43,0.0,4.65,2.33,18.6,4.65,41.86,1,21.5,4.65,0.0,0.0,2.33,4.65,1,1,1,1,1,1,1,7,0
84800,91372,1,92120,78169031.0,9.09,33,3.03,3.03,0.0,18.18,3.03,42.42,0,8.25,6.06,3.03,6.06,6.06,9.09,1,1,1,1,1,1,1,47,1
48705,606073,1,522779,23157347.0,15.0,40,2.5,0.0,0.0,30.0,7.5,40.0,0,13.33,7.5,2.5,2.5,0.0,0.0,1,1,1,1,1,1,1,123,1
41639,27899,0,27532,45357991.0,10.29,68,4.41,4.41,0.0,20.59,8.82,45.59,0,13.6,13.24,2.94,2.94,0.0,4.41,1,1,1,1,1,1,1,1,0
9545,532055,1,540657,64795101.0,4.55,22,4.55,0.0,0.0,9.09,4.55,27.27,0,5.5,4.55,0.0,0.0,0.0,9.09,1,1,1,1,1,1,1,57,1
8728,5818740,0,5764860,63562148.0,13.33,30,0.0,0.0,3.33,16.67,3.33,36.67,1,15.0,6.67,0.0,0.0,3.33,6.67,1,1,1,1,1,1,1,14,0
116103,100172,0,98821,25505103.0,14.0,50,2.0,2.0,16.0,16.0,6.0,26.0,0,25.0,6.0,0.0,2.0,2.0,4.0,1,1,1,1,1,1,1,0,0
58013,360298,0,296571,5712968.0,19.51,41,9.76,4.88,0.0,29.27,12.2,36.59,0,20.5,4.88,4.88,0.0,0.0,0.0,1,1,1,1,1,1,1,11,0
88226,385946,0,375973,51760513.0,16.3,92,0.0,2.17,0.0,23.91,13.04,41.3,0,13.14,9.78,4.35,2.17,1.09,3.26,1,1,1,1,1,1,1,38,1
67795,166688,0,170662,83875911.0,0.0,7,0.0,28.57,0.0,28.57,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,14.29,1,1,1,1,1,1,1,14,0
66797,27411,0,27126,82427210.0,3.85,26,0.0,7.69,0.0,34.62,3.85,15.38,0,13.0,3.85,7.69,7.69,0.0,19.23,1,1,1,1,1,1,1,2,0
122481,787279,1,590556,3633967.0,16.39,61,3.28,3.28,0.0,29.51,6.56,36.07,0,12.2,9.84,3.28,3.28,0.0,3.28,1,1,1,1,1,1,1,78,1
61261,23764,0,19247,10990514.0,25.93,27,3.7,3.7,0.0,22.22,7.41,51.85,1,9.0,3.7,0.0,7.41,3.7,7.41,1,1,1,1,1,1,1,11,0
119321,371860,0,376064,30495314.0,14.29,28,0.0,3.57,3.57,17.86,7.14,42.86,0,7.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,174,1
65913,584891,0,493455,18151814.0,10.61,66,0.0,0.0,7.58,19.7,6.06,39.39,0,11.0,9.09,0.0,9.09,4.55,3.03,1,1,1,1,1,1,1,12,0
21935,1464031,0,1486340,51594407.0,8.33,48,0.0,0.0,16.67,16.67,2.08,31.25,0,8.0,8.33,0.0,4.17,0.0,2.08,1,1,1,1,1,1,1,87,1
106488,276004,0,276727,43732502.0,13.16,38,0.0,7.89,0.0,21.05,7.89,39.47,0,6.33,13.16,0.0,0.0,0.0,5.26,1,1,1,1,1,1,1,2,0
84178,146297,1,151449,77096067.0,10.26,39,0.0,0.0,0.0,41.03,0.0,17.95,0,19.5,2.56,15.38,2.56,0.0,0.0,1,1,1,1,1,1,1,30,0
208,367376,0,380476,81758871.0,13.73,51,0.0,5.88,15.69,23.53,5.88,35.29,0,17.0,5.88,1.96,0.0,1.96,7.84,1,1,1,1,1,1,1,5,0
55128,805230,1,600767,1903340.0,12.9,31,3.23,0.0,0.0,35.48,3.23,29.03,0,10.33,9.68,3.23,3.23,0.0,6.45,1,1,1,1,1,1,1,33,0
39073,1034092,0,1003952,42269108.0,16.22,37,0.0,0.0,0.0,27.03,5.41,37.84,0,18.5,5.41,5.41,0.0,2.7,0.0,1,1,1,1,1,1,1,2,0
64857,627942,0,525316,16646922.0,17.31,52,3.85,7.69,11.54,11.54,3.85,26.92,0,17.33,7.69,1.92,0.0,0.0,7.69,1,1,1,1,1,1,1,107,1
44887,1831350,0,1755612,49273925.0,12.07,58,6.9,3.45,3.45,5.17,8.62,56.9,0,14.5,3.45,1.72,0.0,0.0,1.72,1,1,1,1,1,1,1,80,1
101786,12106,0,12009,38079854.0,12.35,81,2.47,4.94,2.47,20.99,4.94,29.63,0,10.12,8.64,3.7,0.0,0.0,2.47,1,1,1,1,1,1,1,2,0
